customers served     | total arrivals       | total queue          | dropped customers    | clock (min)          | response time (min)  | server utilization   | drop rate (min^-1)   | drop rate (%)       
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
48555                | 48950                | 633.1385920396733    | 395                  | 1440                 | 0.10869399585652702  | 0.6450510560113842   | 0.2743055555555556   | 0.8069458631256384
48950                | 49402                | 672.1571390896383    | 452                  | 1440                 | 0.10917206075976854  | 0.6488075724928823   | 0.3138888888888889   | 0.9149427148698434
48615                | 49002                | 606.9499895392878    | 387                  | 1440                 | 0.10765644327233737  | 0.6426787886075948   | 0.26875              | 0.7897636831149749
48626                | 49033                | 648.2464966806428    | 407                  | 1440                 | 0.10855934271773227  | 0.6431271286587814   | 0.2826388888888889   | 0.8300532294577121
48710                | 49122                | 622.6271912622287    | 412                  | 1440                 | 0.10744777352574249  | 0.6403728932160285   | 0.2861111111111111   | 0.8387280648182078
48450                | 48758                | 582.4376882424904    | 308                  | 1440                 | 0.10663770786885134  | 0.636737305181977    | 0.21388888888888888  | 0.6316912096476476
48333                | 48687                | 619.4447493926091    | 354                  | 1440                 | 0.10838322186074692  | 0.6414967467217492   | 0.24583333333333332  | 0.7270934746441555
48400                | 48787                | 614.4944147699171    | 387                  | 1440                 | 0.10775978593529711  | 0.6390798969845692   | 0.26875              | 0.7932441019123947
48717                | 49071                | 605.9249336182402    | 354                  | 1440                 | 0.10724707131387567  | 0.6415196642494195   | 0.24583333333333332  | 0.721403680381488
48291                | 48668                | 609.3559815296048    | 377                  | 1440                 | 0.10807380479269636  | 0.6401802576027357   | 0.26180555555555557  | 0.7746363113339361
48589                | 48977                | 629.5464094554882    | 388                  | 1440                 | 0.10819352225473045  | 0.6427231942212212   | 0.26944444444444443  | 0.7922085877044327
48559                | 48923                | 589.9155380806842    | 364                  | 1440                 | 0.1070499037931607   | 0.64005868560806     | 0.25277777777777777  | 0.7440263270854199
48977                | 49320                | 615.831493730373     | 343                  | 1440                 | 0.1077384125824618   | 0.647337248900149    | 0.23819444444444443  | 0.6954582319545823
48602                | 48947                | 621.1543740112647    | 345                  | 1440                 | 0.10821600054712152  | 0.644157442653142    | 0.23958333333333334  | 0.7048440149549513
48821                | 49257                | 654.8791362621232    | 436                  | 1440                 | 0.10947689537757394  | 0.6514393911406035   | 0.30277777777777776  | 0.8851533792151369
48633                | 49036                | 660.3032917315031    | 403                  | 1440                 | 0.10934261766669724  | 0.6468172157555123   | 0.2798611111111111   | 0.8218451749734889
48587                | 49048                | 650.0499787939116    | 461                  | 1440                 | 0.108819141892161    | 0.6440570134037208   | 0.32013888888888886  | 0.9398956124612624
48513                | 48865                | 575.5924129452433    | 352                  | 1440                 | 0.10647653184256989  | 0.6375334539695323   | 0.24444444444444444  | 0.7203519901770183
48713                | 49097                | 624.2162858397132    | 382                  | 1440                 | 0.10753946449784842  | 0.6408720255428593   | 0.2652777777777778   | 0.7780516121147931
48096                | 48526                | 639.8685390100982    | 432                  | 1440                 | 0.10946843487994312  | 0.6423214855702348   | 0.3                  | 0.8902444050612043
48593                | 49011                | 625.2018959366542    | 418                  | 1440                 | 0.10746450702246221  | 0.6385020210721606   | 0.2902777777777778   | 0.8528697639305463
48419                | 48795                | 623.0980944174007    | 376                  | 1440                 | 0.1089072053562798   | 0.6457100482448992   | 0.2611111111111111   | 0.7705707552003279
48656                | 49064                | 618.899984964075     | 408                  | 1440                 | 0.10728623611797798  | 0.6391374531399844   | 0.2833333333333333   | 0.8315669329854884
48275                | 48630                | 605.375285026159     | 355                  | 1440                 | 0.10810057515176248  | 0.6407536368363485   | 0.2465277777777778   | 0.7300020563438206
48320                | 48699                | 621.6978801137229    | 378                  | 1440                 | 0.10754242565688578  | 0.6353037688852208   | 0.2625               | 0.7761966364812419
48739                | 49142                | 597.8149798724407    | 404                  | 1440                 | 0.1069100776650691   | 0.6407440660638584   | 0.28055555555555556  | 0.8221073623377153
48594                | 48951                | 643.574232354862     | 357                  | 1440                 | 0.10908846574522961  | 0.646884644453357    | 0.24791666666666667  | 0.7293007293007293
48690                | 49022                | 604.4928056650024    | 332                  | 1440                 | 0.10781000151837446  | 0.6451022144093131   | 0.23055555555555557  | 0.677246950348823
48731                | 49143                | 641.7782506937801    | 412                  | 1440                 | 0.10849384651084425  | 0.6452022577394075   | 0.2861111111111111   | 0.8383696559021631
48557                | 49012                | 646.3510405041816    | 449                  | 1440                 | 0.1089207225185152   | 0.644865083645157    | 0.31180555555555556  | 0.9161021790581899
48549                | 48909                | 596.6797381000142    | 366                  | 1440                 | 0.10755267607559843  | 0.6422547014878065   | 0.25416666666666665  | 0.7483285284916886
48544                | 48936                | 620.0450563897175    | 392                  | 1440                 | 0.10839000869731644  | 0.6446923831705654   | 0.2722222222222222   | 0.801046264508746
48707                | 49130                | 659.4613098681948    | 423                  | 1440                 | 0.10893479131764824  | 0.6452993032617098   | 0.29375              | 0.8609810706289436
48876                | 49259                | 611.9045184018978    | 379                  | 1440                 | 0.10751111560914078  | 0.6448537979274842   | 0.26319444444444445  | 0.7694025457276843
48224                | 48589                | 618.6744768728677    | 369                  | 1440                 | 0.10840394420356098  | 0.6401555294017264   | 0.25625              | 0.7594311469674206
48281                | 48715                | 628.8093201174561    | 434                  | 1440                 | 0.10889822183403153  | 0.6428176162560223   | 0.3013888888888889   | 0.8908960279174791
48893                | 49223                | 623.5884541699197    | 329                  | 1440                 | 0.10848069819442543  | 0.650106348978482    | 0.22847222222222222  | 0.6683867297807935
48656                | 49113                | 664.6328275954074    | 458                  | 1440                 | 0.10937115112602656  | 0.6467980645797341   | 0.31805555555555554  | 0.9325433184696517
48603                | 48979                | 614.9268891780303    | 376                  | 1440                 | 0.10729443795276139  | 0.6388821785949973   | 0.2611111111111111   | 0.767675942750975
48867                | 49234                | 619.7162948854821    | 367                  | 1440                 | 0.1075353758263571   | 0.6438060518989115   | 0.2548611111111111   | 0.7454198318235365
48317                | 48705                | 603.181700576315     | 388                  | 1440                 | 0.10789853745988402  | 0.640248171218026    | 0.26944444444444443  | 0.796632789241351
48377                | 48730                | 599.4381859987116    | 353                  | 1440                 | 0.10733671568957641  | 0.6379519600595569   | 0.24513888888888888  | 0.7243997537451262
48638                | 49055                | 624.7987928853399    | 417                  | 1440                 | 0.10778777344888738  | 0.6413816191458946   | 0.28958333333333336  | 0.8500662521659362
48655                | 49079                | 672.7807256671804    | 424                  | 1440                 | 0.10896610168739156  | 0.6429235775580185   | 0.29444444444444445  | 0.863913282666721
48505                | 48913                | 637.0953852728126    | 407                  | 1440                 | 0.10893457212503885  | 0.6452952042459874   | 0.2826388888888889   | 0.8320896285241143
48779                | 49104                | 600.9285750753697    | 325                  | 1440                 | 0.10742219824881434  | 0.6443398763264013   | 0.22569444444444445  | 0.6618605408927989
48428                | 48806                | 580.6886104331497    | 379                  | 1440                 | 0.10626170666769225  | 0.6341246652173729   | 0.26319444444444445  | 0.7765438675572676
48840                | 49182                | 612.8538447398169    | 339                  | 1440                 | 0.10778177312809423  | 0.6459286473479671   | 0.23541666666666666  | 0.6892765645968038
48683                | 49028                | 621.2017457845504    | 348                  | 1440                 | 0.10809332045923319  | 0.6446484231492217   | 0.24166666666666667  | 0.709798482499796
48778                | 49184                | 650.9867281088955    | 404                  | 1440                 | 0.10831155302573328  | 0.6433463989465492   | 0.28055555555555556  | 0.8214053350683148
48458                | 48791                | 577.4363878680742    | 335                  | 1440                 | 0.1066235230613113   | 0.6374554501340362   | 0.2326388888888889   | 0.6866020372609702
48393                | 48759                | 630.5004644414585    | 366                  | 1440                 | 0.10807497850015857  | 0.6388236293776864   | 0.25416666666666665  | 0.7506306528025596
48231                | 48616                | 625.1676544893271    | 384                  | 1440                 | 0.10868402037042647  | 0.6411575341570251   | 0.26666666666666666  | 0.7898634194503867
49131                | 49561                | 650.3200411995058    | 431                  | 1440                 | 0.10855251174933708  | 0.6504740267999876   | 0.29930555555555555  | 0.8696353988014769
48777                | 49101                | 589.2702284739789    | 320                  | 1440                 | 0.10692222520043548  | 0.6425190171687915   | 0.2222222222222222   | 0.6517178876193968
48674                | 49033                | 619.7964729297964    | 363                  | 1440                 | 0.10758907445914634  | 0.6411330934437303   | 0.2520833333333333   | 0.7403177451920135
48601                | 49012                | 652.9792717130476    | 411                  | 1440                 | 0.10906556160017823  | 0.6456049698686934   | 0.28541666666666665  | 0.8385701460866727
48111                | 48544                | 614.6177742282307    | 433                  | 1440                 | 0.10821787946961767  | 0.6377366354388078   | 0.30069444444444443  | 0.8919742913645353
48960                | 49430                | 661.5024596493895    | 469                  | 1440                 | 0.10911347215039122  | 0.6501004090253031   | 0.32569444444444445  | 0.9488165081934048
48483                | 48868                | 610.1640975978808    | 383                  | 1440                 | 0.10780641511308194  | 0.6411918316071407   | 0.2659722222222222   | 0.7837439633297864
48505                | 48850                | 611.2673253888061    | 348                  | 1440                 | 0.10823776632274867  | 0.6443202478193446   | 0.24166666666666667  | 0.7123848515864892
48349                | 48766                | 616.3828706059721    | 414                  | 1440                 | 0.10795484929820856  | 0.6393170669724642   | 0.2875               | 0.8489521387852192
